date,open,high,low,close,volume,vwap,CCI,EVM,SMA_4,EWMA_4,SMA_20,EWMA_20,SMA_100,EWMA_100,SMA_200,EWMA_200,ROC,UpperBB,LowerBB,ForceIndex,Signal
7/30/19,33.209999,33.939999,32.939999,33.869999,72198900,33.58333,35.59474301,-0.048566638,33.75999925,33.73903152,33.1009998,32.94279845,28.84839998,29.28698083,25.07464996,27.41230877,0.01134658,35.68946884,26.26653128,28157498.8,0
7/31/19,32.080002,32.299999,30.299999,30.450001,119190000,31.01667,-129.5569652,-0.260831373,32.955,32.42341931,33.06149985,32.70538916,28.93279999,29.31043189,25.10039997,27.44721099,-0.107299909,35.60197207,26.50482809,-407629561.6,0
8/1/19,30.5,31.48,29.1,29.860001,80878900,30.14667,-165.2162981,-0.429858889,31.91500025,31.39805199,32.99499985,32.43439981,29.00180001,29.32150936,25.11799997,27.47489064,-0.113157031,35.53934994,26.66785026,-47718551,0
8/2/19,29.48,29.73,28.940001,29.440001,60410900,29.37,-173.2305048,-0.647354256,30.9050005,30.61483159,32.8919999,32.14921897,29.06130002,29.32389691,25.13389998,27.49740024,-0.134626661,35.47794951,26.81045073,-25372578,0
8/5/19,28.26,28.49,27.65,27.99,74333200,28.04333,-180.0979922,-0.79698686,29.43500075,29.56489895,32.68949985,31.75310288,29.10740003,29.2970289,25.13294998,27.50303431,-0.163978495,35.38640264,26.96719756,-107783214.3,0
8/6/19,28.860001,29.049999,28.200001,28.860001,60578400,28.70333,-131.4128702,-0.682224863,29.03750075,29.28293977,32.4749998,31.47756937,29.16780004,29.28822906,25.14074999,27.51853145,-0.147918457,35.26472316,27.18567704,52703268.58,0
8/7/19,28.469999,29.280001,28.370001,29.190001,58577500,28.94667,-107.4041703,-0.538991179,28.87000075,29.24576426,32.2449998,31.25970571,29.22680004,29.28625184,25.15359999,27.53759233,-0.041379309,35.26155874,27.19444154,19330575,0
8/8/19,31.530001,34.27,31.48,33.919998,167278800,33.22333,30.13608361,-0.050736025,29.99,31.11545776,32.28799965,31.51306688,29.33350002,29.37949366,25.20489998,27.61026953,0.135967745,35.34483039,27.34436981,791228222.2,0
8/9/19,33.450001,35.549999,33.080002,34.189999,132483900,34.27333,60.75012387,0.127556349,31.53999975,32.34527425,32.33699965,31.7680128,29.41540001,29.47626129,25.25069997,27.68508617,0.161345035,35.430621,27.50497912,35770785.48,0
8/12/19,34.16,34.650002,32.080002,32.43,106737000,33.05333,24.2476622,-0.055904623,32.4324995,32.37916455,32.2389997,31.8310592,29.4827,29.53565974,25.28739997,27.738963,0.158628081,35.36217449,27.77422563,-187857013.3,0
