date,open,high,low,close,volume,vwap
2019-01-22,20.48,20.92,19.700001,19.76,78513700.0,20.12667
2019-01-23,20.030001,20.48,19.549999,19.799999,77811300.0,19.94333
2019-01-24,20.059999,21.01,20.040001,20.85,97433400.0,20.63333
2019-01-25,20.99,22.030001,20.790001,21.93,110239500.0,21.58333
2019-01-28,20.32,21.01,20.02,20.18,135164100.0,20.40333
2019-01-29,20.26,20.389999,19.049999,19.25,131202500.0,19.56333
2019-01-30,21.49,23.129999,21.370001,23.09,211421200.0,22.53
2019-01-31,23.02,25.139999,22.83,24.41,182575600.0,24.12667
2019-02-01,24.610001,24.84,24.07,24.51,105356200.0,24.47333
2019-02-04,24.43,24.66,24.07,24.129999,70843800.0,24.28667
2019-02-05,23.42,23.860001,22.98,23.309999,122226000.0,23.38333
2019-02-06,23.629999,24.139999,23.219999,23.26,78684300.0,23.54
2019-02-07,22.99,23.219999,22.32,22.67,86723900.0,22.73667
2019-02-08,22.33,23.280001,22.27,23.049999,78129300.0,22.86667
2019-02-11,23.049999,23.280001,22.66,22.959999,60578700.0,22.96667
2019-02-12,23.43,23.559999,22.75,22.82,67595400.0,23.04333
2019-02-13,22.98,23.24,22.709999,22.85,57544200.0,22.93333
2019-02-14,22.74,23.370001,22.59,23.129999,64441200.0,23.03
2019-02-15,23.58,24.049999,23.200001,23.68,78644100.0,23.64333
2019-02-19,23.629999,24.41,23.610001,23.950001,57517900.0,23.99
2019-02-20,24.139999,24.370001,23.9,23.950001,57091600.0,24.07333
2019-02-21,24.040001,24.33,23.85,23.92,49608200.0,24.03333
2019-02-22,24.049999,24.360001,23.879999,24.360001,52650700.0,24.2
2019-02-25,25.01,25.52,24.68,24.709999,63221000.0,24.97
2019-02-26,24.65,24.719999,24.15,24.209999,48470100.0,24.36
2019-02-27,24.110001,24.23,23.209999,23.48,62649300.0,23.64
2019-02-28,23.209999,23.67,23.110001,23.530001,39384900.0,23.43667
2019-03-01,23.969999,24.190001,23.450001,23.68,48084000.0,23.77333
2019-03-04,23.889999,24.129999,23.01,23.370001,48147700.0,23.50333
2019-03-05,23.34,23.68,23.01,23.5,35462600.0,23.39667
2019-03-06,23.469999,23.530001,22.4,22.41,60479400.0,22.78
2019-03-07,22.33,22.41,21.73,22.08,52186300.0,22.07333
2019-03-08,21.35,22.09,21.040001,22.01,49967700.0,21.71333
2019-03-11,22.15,23.08,21.98,22.959999,54420200.0,22.67333
2019-03-12,23.1,23.799999,22.780001,23.49,56410600.0,23.35667
2019-03-13,23.66,24.15,23.35,23.379999,56705800.0,23.62667
2019-03-14,23.370001,23.49,22.799999,22.82,42818600.0,23.03667
2019-03-15,23.1,23.65,23.01,23.290001,46519900.0,23.31667
2019-03-18,23.299999,23.620001,23.040001,23.25,34731800.0,23.30333
2019-03-19,23.6,26.08,23.59,26.0,156052200.0,25.22333
2019-03-20,26.49,26.879999,25.309999,25.700001,151292100.0,25.96333
2019-03-21,25.780001,28.110001,25.709999,27.889999,129610300.0,27.23667
2019-03-22,27.540001,27.75,26.33,26.370001,115323300.0,26.81667
2019-03-25,26.290001,26.99,25.540001,25.969999,78438200.0,26.16667
2019-03-26,26.690001,26.98,25.459999,25.690001,75754100.0,26.04333
2019-03-27,25.700001,25.879999,24.549999,24.889999,88585300.0,25.10667
2019-03-28,25.1,25.559999,24.65,25.059999,64667500.0,25.09
2019-03-29,25.58,25.73,25.25,25.52,53502800.0,25.5
2019-04-01,26.42,26.559999,25.83,26.360001,63000300.0,26.25
2019-04-02,26.51,26.799999,26.09,26.75,53358800.0,26.54667
2019-04-03,28.02,29.950001,27.879999,29.02,197650500.0,28.95
2019-04-04,28.879999,29.389999,28.610001,29.09,82191100.0,29.03
2019-04-05,29.639999,29.690001,28.799999,28.98,65662700.0,29.15667
2019-04-08,28.690001,28.950001,28.18,28.530001,58002500.0,28.55333
2019-04-09,28.24,28.379999,27.190001,27.24,75539800.0,27.60333
2019-04-10,27.459999,28.120001,27.32,27.83,64368100.0,27.75667
2019-04-11,27.809999,28.049999,27.459999,27.790001,44801200.0,27.76667
2019-04-12,28.209999,28.379999,27.66,27.85,41048800.0,27.96333
2019-04-15,27.799999,27.84,26.959999,27.33,40812500.0,27.37667
2019-04-16,27.719999,28.18,27.49,27.93,47340100.0,27.86667
2019-04-17,28.209999,28.27,27.219999,27.49,48240800.0,27.66
2019-04-18,27.6,27.879999,27.34,27.68,39880900.0,27.63333
2019-04-22,27.620001,28.23,27.389999,28.18,36477300.0,27.93333
2019-04-23,28.18,28.49,27.790001,27.969999,41777500.0,28.08333
2019-04-24,28.1,28.85,27.93,28.459999,51784700.0,28.41333
2019-04-25,28.67,28.860001,27.360001,27.66,57329700.0,27.96
2019-04-26,27.66,27.9,27.049999,27.879999,48827900.0,27.61
2019-04-29,27.9,28.139999,27.5,27.690001,44532700.0,27.77667
2019-04-30,27.59,27.799999,26.940001,27.629999,73165900.0,27.45667
2019-05-01,28.950001,29.15,26.780001,26.809999,136066900.0,27.58
2019-05-02,26.940001,28.639999,26.610001,28.290001,100514800.0,27.84667
2019-05-03,28.299999,28.42,27.66,28.219999,55503100.0,28.1
2019-05-06,26.719999,27.5,26.450001,27.42,70344100.0,27.12333
2019-05-07,27.200001,27.35,26.209999,26.66,75868800.0,26.74
2019-05-08,26.41,27.709999,26.27,27.09,65967500.0,27.02333
2019-05-09,26.700001,27.379999,26.030001,27.209999,73150900.0,26.87333
2019-05-10,27.030001,28.1,26.93,27.959999,82930100.0,27.66333
2019-05-13,26.98,27.23,26.1,26.24,99017900.0,26.52333
2019-05-14,26.530001,27.48,26.15,27.32,82980400.0,26.98333
2019-05-15,26.870001,27.790001,26.73,27.58,55689900.0,27.36667
2019-05-16,27.370001,28.370001,27.27,28.01,67330100.0,27.88333
2019-05-17,27.690001,28.459999,27.4,27.5,65385400.0,27.78667
2019-05-20,26.98,27.24,26.49,26.68,69757400.0,26.80333
2019-05-21,27.18,27.370001,26.93,27.35,46079200.0,27.21667
2019-05-22,27.120001,27.59,27.07,27.41,40035300.0,27.35667
2019-05-23,26.99,27.1,26.030001,26.360001,67809200.0,26.49667
2019-05-24,26.610001,26.93,26.4,26.440001,39835800.0,26.59
2019-05-28,27.27,29.67,27.059999,29.049999,146949600.0,28.59333
2019-05-29,29.0,29.32,27.73,28.09,99969600.0,28.38
2019-05-30,28.4,28.559999,27.6,28.030001,65289100.0,28.06333
2019-05-31,27.57,28.360001,27.4,27.41,68667800.0,27.72333
2019-06-03,28.75,29.620001,27.290001,27.58,147532200.0,28.16333
2019-06-04,28.389999,29.59,27.91,29.57,107549500.0,29.02333
